Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
"North Carolina, South Carolina",Goose Creek Limestone,Upper,3.55,3.75,Ward and Huddlestun (1988); Campbell and Campbell (1995),"The unit was originally mapped from Charleston, SC (Toumey 1848; Weems et al 1982); Campbell and Campbell (1995) indicated the unit is found in NE GA, eastern SC and SE NC. Campbell and Campbell (1995) suggested the Raysor Marl unconformably overlies the Goose Creek Limestone, which is a reversed relationship from previous publications. According to Campbell and Campbell (1995), the Raysor Frm and upper Goose Creek Limestone Frm appear to be coeval lithofacies distinct from and older than the Duplin Frm at the Natural Well stratotype. L. Campbell (pers comm 2013) indicated the lower Goose Creek limestone as found at the type section lies stratigraphically under the Raysor sands, and Raysor-equivalent strata to the east are referred to as ""upper Goose Creek Limestone"" and include the ""Bear Bluff"" deposits. Ward (pers comm 2012) does not support the name Goose Creek. ",The unit is considered as 3.9-3.2 Ma or within zone NN 15 to mid-NN 14 (Bybell 1990).,"According to Campbell and Campbell (1995), the upper Goose Creek Limestone and the Raysor Frm appear to be laterally equivalent, coeval lithofacies, and both are older than the Duplin Frm. The current compilation has the Duplin Frm wholly equivalent to the Raysor Frm. Ward and Huddlestun (1988) placed the Goose Creek above the Raysor Frm in their stratigraphic chart, which Huddlestun (pers comm 2013) indicated is incorrect and was reversed in later publications by these authors.","The Bear Bluff Frm is congruent with the upper Goose Creek Limestone (Campbell and Campbell 1995); however, this relationship is not supported in this compilation, as the Bear Bluff Frm is younger than the Goose Creek Limestone here. "
"North Carolina, South Carolina",Goose Creek Limestone,Lower,3.8,4,Ward and Huddlestun (1988); Campbell and Campbell (1995),,,"According to Campbell and Campbell (1995), the Raysor Marl unconformably overlies the lower Goose Creek Limestone, a reversal of the inferred stratigraphic sequence presented in other reports. ",
"North Carolina, Virginia",Bacons Castle,,2,2.1,"Ramsey (1988, 1992); Groot (1991)","Johnson and Berquist (1989) indicated age determination for this unit is difficult because there are no shell fossils or radiometrically datable material, but suggested a Pliocene age; Mixon et al (1989) and Radar and Evans (1993) both considered the unit to be late Pliocene.","Krantz (1991) indicated an age of 1.9-1.7 Ma, but the dating was tentative. Ramsey (1992) indicated an age of 2.3-2.0 Ma; Swift et al (2003) suggested a much younger age in their chronology chart (450-270 Ka), but they also indicated in the text that the unit is Pliocene in age, which would fit with the other cited ages. ",The Bacons Castle Frm unconformably overlies the Yorktown and Chowan River Frms in eastern VA (Krantz 1991); the unit correlates with the upper Beaver Dam Frm (Ramsey 1992); correlative with the lower Waccamaw Frm (Krantz 1991).,"The chart of Carter et al (2003) indicated the Bacons Castle Frm is equivalent with the Chowan River Frm, but Krantz (1991) indicated the unit overlies the Chowan River Frm. "
"North Carolina, Virginia",Yorktown,Sunken Meadow ,4.6,4.8,"Cronin et al (1984); Ward and Huddlestun (1988); Krantz (1991), although he cited a range from 4.8-3.5 Ma for this member","The lowest initial transgressive deposit, the Sunken Meadow Member of the Yorktown Frm, contains a somewhat different molluscan assemblage from the rest of the Yorktown Frm and is separated from the other units by a depositional hiatus (Blackwelder 1981a).",,"Krantz (1991) indicated the Sunken Meadow Member is time equivalent with the Wabasso Beds and the lower Duplin Frm; the latter relationship is not supported here, but the Sunken Meadow Member is correlated with the Wabasso Beds. ","Jones et al (1991), Willard et al (1993) and Williams et al (2009) indicated the Sunken Meadow Member is equivalent to Unit 11 of the lower Pinecrest, but this is not supported in this compilation;  others (e.g., Scott 1995) indicated the Sunken Meadow Member is not correlated with any Tamiami sediments, at least not in S Florida."
Panama,Ground Creek,,0.78,2.3,Coates et al 2005,informal field name for unit of Isla Colon fm or unnamed Colon and Bastimentos island fms,"Lower age range of 2.3 measured from Coates et al 2005, fig 2",,Johnson et al (2007) gave a median age of 2.6 Ma for the Ground Creek faunule from Bocas del Toro basin that they sampled for NMiTA.
Panama,Swan Cay,,0.78,1.77,Coates et al 2005,unit exists on its own island so hard to correlate,Paleomag and forams give early Pleistocene age range (Coates et al 2005).,unit exists on its own island so hard to correlate,Johnson et al (2007) gave a median age of 1.285 Ma for the Swan Cay faunule that they sampled for NMiTA in the Bocas del Toro basin.
Panama,La Gruta,,1.4,2.5,Coates et al 2005,informal field name for unit of Isla Colon fm or unnamed Colon and Bastimentos island fms,"Age range of 1.4-2.5 measured from Coates et al 2005, fig 2",,
Panama,Escudo de Veraguas,,1.8,3.5,Coates et al 2005,,Coates et al 2005 gave end dates of 1.8 and 3.5 Ma.,,"Johnson et al (2007) give a median age of 3.55 Ma for the NE and SE Escudo de Veraguas faunules in the Bocas del Toro basin that they sampled for NMiTA. For the NW faunule, 2.05 Ma."
Panama,Old Bank,,2,3.5,Coates et al 2005,informal field name for unit of Isla Colon fm or unnamed Colon and Bastimentos island fms,,,
Panama,Shark Hole,,3.6,5.3,"Coates et al 2004, 2005",Full name is Shark Hole Point,Coates et al 2004 plot the Cayo Agua range as 4.1-5.25 Ma in their correlation chart; Coates et al 2005 plot it as ca 4-5 but give dates of 3.4-3.7 for the top and 3.5-5.0 at the base.,Coates et al 2005 say the Cayo Agua and Shark Hole Point fms are equivalent. Conformably overlies the Nancy Point fm.,Johnson et al (2007) gave a median age of 5.0 Ma for the Shark Hole faunule that they sampled for NMiTA in the Bocas del Toro basin.
Panama,Cayo Agua,,3.7,5,"Coates et al 2004, 2005",,Coates et al 2004 plot the Cayo Agua range as 4.1-5.25 Ma in their correlation chart; Coates et al 2005 give dates of 3.4-3.7 for the top and 3.5-5.0 at the base.,Coates et al 2005 say the Cayo Agua and Shark Hole Point fms are equivalent.,Johnson et al (2007) gave the following median ages of Cayo Agua faunules of the Bocas del Toro basin that they sampled for NMiTA: 4.25 for the Pt Piedra Roja W; 4.25 Ma for W side Punta N; 4.05 for Pt Norte E; 3.55 for Pt Nispero S; 3.55 for Pt Nispero W; 3.55 for Pt Tiburon to Pt Piedra.
Panama,Nancy Point,,5.3,7.2,"Aubry and Berggren 1999, Coates et al 2005",,"Messinian, but did not start in the very earliest Messinian because overlies the Tobabe Sandstone (no marine inverts) which is in the same stage (Coates et al 2005).",,Johnson et al (2007) gave a median age of 6.9 Ma for the Nancy Point faunule that they sampled for NMiTA in the Bocas del Toro basin.
Panama,Chucunaque,,5.6,9.4,"Coates et al 2004, 2005",,"Coates et al 2005 said 11.2-5.6 for the Tuira, Yaviza, and Chucunaque fms. Coates et al 2004 table 3 gives FAD and LAD age constraints: Chucunaque is 5.6-7.1 in many sections, but in northern Bayano basin goes back to 9.4.",,"Johnson et al (2007) give a median age of 7.05 Ma for the Rio Chucunaque faunule of the Chucunaque basin, which they sampled for NMiTA."
Panama,Chagres,Undifferentiated,5.8,6.4,"Collins et al 1996, Kirby et al 2008, Hendy 2013",,"Kirby et al said Latest Miocene or maybe Early Pliocene, but plotted range as ca 5.8-6.5 Ma in log. Collins et al 1996 suggest that the Chagres was mostly 6.4-5.8 Ma, with a minimum of 5 possible.",,
Panama,Chagres,Toro,6.3,6.4,"Collins et al 1996, Kirby et al 2008, Hendy 2013",,"Kirby et al said Latest Miocene or maybe Early Pliocene, but plotted range as ca 5.8-6.5 Ma in log. Collins et al 1996 suggest that the Chagres was mostly 6.4-5.8 Ma, with a minimum of 5 possible. Hendy 2013 plotted the Toro mbr in the bottom quarter of the range of the Chagres, ca 6.3-6.4 Ma. Johnson et al (2007) give a median age of 7.3 Ma for the Toro Cay faunule from which they collected.",Basal coquina is the Toro mbr,
Panama,Gatun,Upper,8.1,8.3,"Collins et al 1996, Coates 1999, Kirby et al 2008",subdivisions are informal units. Few fossils in the upper member. Top of the upper mbr is volcanics.,Kirby et al said mid-late Miocene and placed it from ca 8-12 Ma in log. Collins et al 1996 said the lower Gatun was at least 11.4 Ma and the upper Gatun included fossils from 8.6-9.6 Ma. Hendy 2013 drew the informal subdivisions on a log based on Collins and Coates 1999.,"Base is an unconformity, above Cretaceous volcanics or the Chagres..",
Panama,Gatun,Undifferentiated,8.3,11.5,"Collins et al 1996, Coates 1999, Kirby et al 2008",Fossils are rare in the uppermost unit,Kirby et al said mid-late Miocene and placed it from ca 8-12 Ma in log. Collins et al 1996 said the lower Gatun was at least 11.4 Ma and the upper Gatun included fossils from 8.6-9.6 Ma. Hendy 2013 drew the informal subdivisions on a log based on Collins and Coates 1999.,"Base is an unconformity, above Cretaceous volcanics or the Chagres..",Johnson et al (2007) gave a median age of 10 Ma for the Gatun faunule that they sampled from the Panama Canal for NMiTA.
Panama,Gatun,Middle,8.3,9.5,"Collins et al 1996, Coates 1999, Kirby et al 2008",subdivisions are informal units,Kirby et al said mid-late Miocene and placed it from ca 8-12 Ma in log. Collins et al 1996 said the lower Gatun was at least 11.4 Ma and the upper Gatun included fossils from 8.6-9.6 Ma. Hendy 2013 drew the informal subdivisions on a log based on Collins and Coates 1999.,"Base is an unconformity, above Cretaceous volcanics or the Chagres..",
Panama,Tuira,,8.6,11.2,"Coates et al 2004, 2005",,"Coates et al 2005 said 11.2-5.6 for the Tuira, Yaviza, and Chucunaque fms. Coates et al 2004 said the age ranges from 11.2-8.6.",,Johnson et al (2007) give a median age of 10.15 Ma for the Rio Tuira faunule in the Chucunaque basin that they sampled for NMiTA.
Panama,Yaviza,,8.6,9.4,"Coates et al 2004, 2005",,"Coates et al 2005 said 11.2-5.6 for the Tuira, Yaviza, and Chucunaque fms. Coates et al 2004 table 3 gives FAD and LAD age constraints: Yaviza is within 8.6 to 9.4 Ma",,Johnson et al (2007) give a median age of 6.95 for the Yaviza faunule of the Chucunaque basin that they sampled for NMiTA.
Panama,Membrillo,,9.8,11.2,Coates et al 2004,,Coates et al 2004 said constraints are hard to set but bounds are 9.4 (youngest possible) and 11.2 (youngest possible).,,Johnson et al (2007) gave a median age of 11.6 Ma for the Rio Membrillo faunule that they sampled for NMiTA in the Chucunaque basin.
Panama,Tapaliza,,10.5,12.8,"Coates et al 2004, 2005",,Coates et al 2005 said 16.4-11.2 Ma for the Clarita and Tapaliza fms. Coates et al 2004 put dates of 11.2 and 12.8 on the bounds of the Tapaliza in fig 4 but said 1.5 is 'a reasonable minimum age estimate for the uppermost part'.,,
Panama,Gatun,Lower,11.2,11.5,"Collins et al 1996, Coates 1999, Kirby et al 2008",subdivisions are informal units,Kirby et al said mid-late Miocene and placed it from ca 8-12 Ma in log. Collins et al 1996 said the lower Gatun was at least 11.4 Ma and the upper Gatun included fossils from 8.6-9.6 Ma. Hendy 2013 drew the informal subdivisions on a log based on Collins and Coates 1999 at ca 8.8 (lower-middle) and 8.3 (middle-upper). Coates et al 2005 indicated a large hiatus (ca 11.5-9.5) between the lower and middle-upper units.,"Base is an unconformity, above Cretaceous volcanics or the Chagres..",
Panama,Valiente,,12.25,16.5,"Coates et al 2004, 2005",,"Coates et al 2005 said the Valiente and Punta Alegra range from 12-19 Ma, but plot solid deposits from ca 12.25-16.5 for Valiente and 18.25-19.5 for Punta Alegre.",,Johnson et al (2007) give a median age of 6.9 Ma for the S Valiente West faunule in the Bocas del Toro basin that they sampled for NMiTA.
Panama,Clarita,,14.8,16.4,"Coates et al 2004, 2005",,Coates et al 2005 said 16.4-11.2 Ma for the Clarita and Tapaliza fms. Coates et al 2004 put date of 16.4 on the lower bound of the Clarita in fig 4 and said the unconformity on top was at 14.8 Ma.,,
Panama,Cucaracha,,17,18,Kirby et al 2008,Terrestrial,"Kirby et al estimate of 14-19 Ma based on N Am land mammal ages, with 17-18 (Hemingfordian) 'likely'.",,
Panama,Punta Alegre,,18.3,19,"Coates et al 2004, 2005",,"Coates et al 2005 said the Valiente and Punta Alegra range from 12-19 Ma, but plot solid deposits from ca 12.25-16.5 for Valiente and 18.3-21.5 for Punta Alegre, and say Punta Alegra are 18.3-19 Ma. Coates et al 2004 plots a range of 18.25-19.5 for Punta Alegre in correlation chart.",,
Panama,Culebra,,19.1,21,Kirby et al 2008,"Kirby put the Emperador within the Culebra, but it has often been treated as a separate formation as well.","Kirby et al 2008 Sr dates of 19.12-19.83 Ma for Culebra samples, but placed Emperador within the Culebra which means that the early date must be at least 21.",The lower formations in the Panama Canal basin are the Oligocene Caimito and Las Cascadas,
Panama,Emperador Limestone,,21,21.2,Kirby et al 2008,,"Kirby et al 2008 Sr dates of 20.99-21.24 ma. Kirby put the Emperador within the Culebra, but it has often been treated as a separate formation as well.",,
Panama,La Boca,,21,23.1,Kirby et al 2008,,Kirby et al 2008 Sr give dates of 20.62-23.07 Ma in the abstract but 20.99-23.07 in the text. They also moved the La Boca and Emperador to be part of the lower Culebra Fm.,,
Pennsylvania,Trenton Gravel,,0.01,0.13,Geyer and Wilshusen 1982,Geyer and Wilshusen 1982 reinstated the name Trenton Gravel for outcrop of the Cape May fm in PA.,Geolex gives age range of Wisconsinan-Sangamonian. The ICS Quaternary chart puts the range of those N American stages at ca 0.1-0.13.,,
"Pennsylvania, New Jersey",Trenton Gravel,,0.05,0.15,Owens and Minard 1979,"Includes the Spring Lake member in New Jersey, and Van Sciver Lake member.","Salisbury and Knapp (1917) and MacClintock and Johnson (1956) considered the upper bed to be the Cape May Formation and the lower bed, the Pensauken Formation. Owens and Minard disagree, biostratigraphically dating the unit as Sangamonian.",Part of the Cape May fm was renamed Trenton Gravel.,
Petit Martinique,Petit Martinique,,12.8,13.2,Saunders et al 1985; Speed et al 1993,Petit Martinique lies northeast of Carriacou and has unnamed but dated carbonate beds.,"Saunders et al 1985 dated calcareous beds as N11-N12, ca 12.8-13.2 Ma.",Equivalent or slightly younger than the Grand Bay,
